,Major,Minor,SalePrice,Address,BuildingNumber,StreetName,ZipCode,Stories,BldgGrade,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,FinBasementGrade,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,HeatSystem,HeatSource,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,FpSingleStory,FpMultiStory,FpFreestanding,FpAdditional,YrBuilt,YrRenovated,Condition,Township,Section,QuarterSection,Area,SubArea,DistrictName,SqFtLot,WaterSystem,SewerSystem,Access,InadequateParking,LotDepthFactor,TrafficNoise,DocumentDate,Date
82927,386144,220,358500,35915   23RD PL S  98003,35915,23RD                     ,98003,1.0,7,1250,0,0,0,1250,0,0,0,0,480, ,0,0,0,5,2,3,0,1,1,1,0,0,0,1988,0,4,21,28,NW,55.0,15.0,KING COUNTY,8382,2,2,4,2,0,0,11/26/2019,2019
82963,387600,1920,715000,13615   116TH PL NE  98034,13615,116TH                    ,98034,1.0,7,1800,0,0,0,2600,1800,800,6,480,0,Y,0,0,180,5,2,6,1,1,1,0,1,0,1,1965,0,3,26,21,SW,73.0,5.0,KIRKLAND,7700,2,2,4,2,0,0,11/06/2019,2019
83034,384510,670,584950,2703   55TH ST SE  ,2703 ,55TH                     ,,2.0,9,1550,0,1730,0,3280,0,0,0,0,420, ,300,0,0,5,2,4,1,0,2,1,0,0,1,2014,0,3,21,32,SE,87.0,18.0,AUBURN,4950,2,2,4,2,0,0,03/11/2019,2019
83037,385010,110,1150000,11715  NE 71ST ST   98033,11715,71ST                     ,98033,2.0,9,1220,0,1360,0,3150,1070,570,8,500,0, ,490,0,0,5,2,3,1,1,2,3,0,0,0,2002,0,3,25,9,NW,93.0,15.0,KIRKLAND,3789,2,2,4,2,0,0,10/22/2019,2019
83051,386145,410,363000,2531  S 355TH PL   98003,2531 ,355TH                    ,98003,1.0,7,1330,0,0,0,1330,0,0,0,0,460, ,60,0,0,5,2,3,0,1,1,0,0,0,0,1988,0,4,21,28,NE,55.0,15.0,KING COUNTY,6600,2,2,4,2,0,0,09/09/2019,2019
83071,259240,540,686888,13004  NE 128TH PL   98034,13004,128TH                    ,98034,1.0,7,1170,0,0,0,2030,1100,860,7,240,240,Y,0,0,100,5,2,4,1,2,1,1,0,0,0,1972,0,5,26,28,NE,93.0,7.0,KIRKLAND,7761,2,2,4,2,0,0,01/29/2019,2019
83153,385690,5060,625000,309  NE 56TH ST   98105,309  ,56TH                     ,98105,1.5,6,660,220,0,0,880,180,0,0,0,0, ,80,0,0,5,2,2,0,0,1,0,0,0,0,1906,0,3,25,8,NW,43.0,5.0,SEATTLE,6120,2,2,4,2,0,1,02/28/2019,2019
83177,387631,1150,835000,12907  NE 144TH PL   98034,12907,144TH                    ,98034,1.0,7,1460,0,0,0,2090,1250,630,6,620,0,Y,0,0,210,7,2,5,0,1,2,0,1,0,1,1974,2018,3,26,21,NE,73.0,5.0,KIRKLAND,7504,2,2,4,2,0,0,04/28/2019,2019
83179,387631,1640,700000,12807  NE 144TH WAY   98034,12807,144TH                    ,98034,1.0,7,1220,0,0,0,1720,1090,500,6,520,0,Y,80,0,210,5,2,3,1,1,1,1,0,0,0,1974,0,4,26,21,NE,73.0,5.0,KIRKLAND,7820,2,2,4,2,0,0,10/28/2019,2019
83199,387600,380,735000,11531  NE 140TH ST   98034,11531,140TH                    ,98034,1.0,7,1840,0,0,0,2060,940,220,7,720,0,Y,40,120,200,5,2,4,0,1,2,1,0,0,0,1966,0,4,26,20,SE,73.0,5.0,KIRKLAND,7980,2,2,4,2,0,0,05/03/2019,2019
83200,387600,430,480000,11501  NE 140TH ST   98034,11501,140TH                    ,98034,1.5,7,1530,600,0,0,2130,0,0,0,0,380,N,200,0,0,5,2,6,0,0,2,1,0,0,0,1965,0,3,26,20,SE,73.0,5.0,KIRKLAND,9344,2,2,4,2,0,3,12/23/2019,2019
